store,title,price_per_unit,price
Coop-Prix,NIDAR LABAN ORIGINAL,"2x260 g• kr 134,62/kg",kr 70
Coop-Prix,CASA DI MAMA TRIO DI CARNE,"2x405 g• kr 111,11/kg",kr 90
Coop-Prix,SKOLEBRØD/SOLBOLLER,2 stykker• kr 15/hver,kr 30
Joker,Dvergplante,,kr 30
Joker,Roser,,kr 99
Joker,Norske epler,"1 kg•kr 29,90/kg","kr 29,90"
Joker,Mors grovbrød,"750 g•kr 39,87/kg","kr 29,90"
Joker,Kokt skinke,"150 g•kr 199,33/kg","kr 29,90"
Joker,Kyllingfilet,"650 g•kr 107,54/kg","kr 69,90"
Joker,"Et utvalg brus 1,5 l","1,5 l•kr 13,27/l","kr 19,90"
Joker,Farsdagskake,"425-900 g•maks kr 235,06/kg","kr 99,90"
Joker,Farsdagskake,"425-900 g•maks kr 423,29/kg","kr 179,90"
Joker,Kjøttpølse,"900 g•kr 77,67/kg","kr 69,90"
Joker,Melkehjerter,"130 g•kr 306,92/kg","kr 39,90"
Joker,Norvegia,"500 g•kr 89,80/kg","kr 44,90"
Joker,Blomkål,,"kr 24,90"
Joker,Squash,"350 g• kr 56,86/kg","kr 19,90"
Joker,Persimon,,"kr 9,90"
Joker,Mors grovbrød,"750 g• kr 39,87/kg","kr 29,90"
Joker,Wienerbakst,"2x70-106 g• maks kr 214,29/kg",kr 30
Joker,Farsdagskake,"425-900 g• maks kr 235,06/kg","kr 99,90"
Joker,Farsdagskake,"425-900 g• maks kr 423,29/kg","kr 179,90"
Joker,Fiskeburger,"500 g• kr 139,80/kg","kr 69,90"
Joker,Scampi 31/40,"500 g• kr 139,80/kg","kr 69,90"
Joker,Strimlet kyllingfilet,"400 g• kr 174,75/kg","kr 69,90"
Joker,Svenske kjøttboller,"566 g• kr 123,50/kg","kr 69,90"
Joker,Stabburet-pai,"2x220 g• kr 158,86/kg","kr 69,90"
Joker,Stenfrie druer,"500 g• kr 49,80/kg","kr 24,90"
Joker,Pulled Pork,"500 g• kr 179,80/kg","kr 89,90"
Joker,Kjøttpølse,"900 g• kr 77,67/kg","kr 69,90"
Joker,Indrefilet,1 kg• kr 129/kg,kr 129
Joker,Gresk yoghurt,"160 g• kr 124,37/kg","kr 19,90"
Joker,Eplejuice,"1 l• kr 24,90/l","kr 24,90"
Joker,Servelat,150 g• kr 166/kg,"kr 24,90"
Joker,Salami,"200 g• kr 124,50/kg","kr 24,90"
